Sample_Name,MYH11,PRMT1,TENT4A
TCGA-J4-AATV-nonMT,17.50824228,11.17210245,9.598389831
TCGA-J4-A6G3-nonMT,15.33037992,11.31544904,9.466738284
TCGA-HI-7171-nonMT,14.97072595,11.01793915,9.165622154
DTB-101-MT,8.961028892,10.43439356,10.42061874
TCGA-G9-7521-nonMT,14.90756009,10.79543143,8.731983215
TCGA-EJ-7785-nonMT,17.5032722,10.73659942,9.049692639
TCGA-CH-5751-nonMT,12.50521607,10.33221314,9.524984828
TCGA-ZG-A9LZ-nonMT,14.16423498,11.23594917,8.215740936
TCGA-VP-A879-nonMT,17.76134042,11.19268228,9.228144868
TCGA-HC-7211-nonMT,14.57059104,10.9451215,8.99982841
TCGA-KK-A7AQ-nonMT,14.55088947,11.43889706,9.113226671
TCGA-EJ-7788-nonMT,15.68123791,11.0360754,9.123958488
TCGA-CH-5753-nonMT,13.50434553,10.6815838,9.29223423
DTB-053-MT,10.40304064,9.457925867,10.71848712
TCGA-KC-A4BL-nonMT,16.34218543,11.34216146,9.443615566
TCGA-CH-5754-nonMT,15.0036203,11.65501475,8.882310065
TCGA-EJ-5497-nonMT,16.05847944,10.51028104,8.656950311
TCGA-HC-A76W-nonMT,16.28804241,12.03268889,9.180371184
DTB-098-MT,10.79763222,8.125547122,10.17195686
TCGA-J4-A67N-nonMT,13.4099279,12.17381368,8.848436617
TCGA-EJ-A46D-nonMT,16.50624734,11.24888101,9.035242942
DTB-213-MT,12.06107383,9.878363551,10.75742043
DTB-149-MT,9.183350032,9.419459496,10.2428877
TCGA-V1-A8WW-nonMT,14.74950429,11.54473764,9.208840205
TCGA-V1-A9Z8-nonMT,16.81446805,11.30598386,8.896228217
TCGA-KK-A8I4-nonMT,16.37956195,11.35566664,9.378305404
DTB-127-MT,8.844612661,8.470967294,10.64998316
